c.N...25..MLE.tao.hat...1.19404225868907..MLE.eta.hat...0.00172394798085188..,c.N...50..MLE.tao.hat...1.19643909872451..MLE.eta.hat...0.00134593801010217..,c.N...75..MLE.tao.hat...1.19731147664725..MLE.eta.hat...0.000775104880949629..,c.N...100..MLE.tao.hat...1.19841760055976..MLE.eta.hat...0.000774095982097961..,c.N...125..MLE.tao.hat...1.19825530590808..MLE.eta.hat...0.00109123428996016..,c.N...150..MLE.tao.hat...1.19868693311912..MLE.eta.hat...0.00110568128088543..
25,50,75,100,125,150
1.1940422586890735,1.1964390987245082,1.1973114766472464,1.1984176005597587,1.1982553059080827,1.1986869331191186
0.0017239479808518754,0.0013459380101021742,7.751048809496289e-4,7.740959820979613e-4,0.001091234289960165,0.001105681280885435
1.0016115917918054,1.0005673403348334,1.0005462105758354,0.9996825832440583,0.9996969818890623,0.9995990967762989
0.20205204968146565,0.20158891062089943,0.20142914314529853,0.20101392710320207,0.2012081811239927,0.20103495292610563
0.39154977951667913,0.38822030636330096,0.39706244093304055,0.38660826369017137,0.38497007820235063,0.3831278276896282
0.37786974671639845,0.3762997322728638,0.37580968891883265,0.37540404423918927,0.3752860469012438,0.3751046893315919
0.37856319387279835,0.3763629739659856,0.3758725900314173,0.3753534945347875,0.3752996662373503,0.3748873478344504
0.05700000000000005,0.051000000000000045,0.05559999999999998,0.05179999999999996,0.051000000000000045,0.054400000000000004
0.05600000000000005,0.052200000000000024,0.05720000000000003,0.05459999999999998,0.05279999999999996,0.055400000000000005
0.05600000000000005,0.051000000000000045,0.05520000000000003,0.05179999999999996,0.050799999999999956,0.05400000000000005
0.05459999999999998,0.05179999999999996,0.05700000000000005,0.05400000000000005,0.0524,0.05559999999999998
0.055400000000000005,0.0504,0.055400000000000005,0.05159999999999998,0.051000000000000045,0.054400000000000004
0.05479999999999996,0.0524,0.057599999999999985,0.05379999999999996,0.05179999999999996,0.05579999999999996
-0.16536309430710863,-0.11698841645166981,-0.09599311890244523,-0.08310097251778473,-0.07398395419595961,-0.06748203662770244
0.1806007183450489,0.1251789644189461,0.1011100647488959,0.08730563796516348,0.078287744354967,0.07143151755124341
0.34596381265215753,0.2421673808706159,0.19710318365134114,0.17040661048294822,0.15227169855092662,0.13891355417894585
0.9444,0.9492,0.944,0.9478,0.9478,0.9446
-0.16515233079051098,-0.11687218022460472,-0.09593648850788057,-0.08305554769145929,-0.0739571559869816,-0.06743910474691148
0.18047319705714068,0.12506856319569504,0.10105215843931353,0.08725132389610966,0.07825418730960007,0.07138391439363886
0.34562552784765166,0.24194074342029975,0.19698864694719412,0.17030687158756896,0.15221134329658167,0.13882301914055034
0.9442,0.9476,0.9434,0.9456,0.9478,0.9442
-0.16829400187623833,-0.11869310070816609,-0.09719743732149982,-0.08403771452745522,-0.07475747960448223,-0.06811452013172027
0.17267089805723534,0.12184054222937675,0.09904844130025837,0.08581073682260526,0.07712073106689181,0.07047712580025135
0.3409648999334737,0.24053364293754284,0.19624587862175819,0.16984845135006046,0.15187821067137403,0.13859164593197162
0.944,0.949,0.9448,0.9482,0.9492,0.9458
-0.16809156015059923,-0.11857405572605154,-0.097136403463112,-0.08398779385232814,-0.07472718373056425,-0.06807019353638867
0.17247059812309115,0.12172320380979652,0.09898672598347295,0.08576079413817461,0.07709049715238496,0.07043267990081697
0.34056215827369035,0.24029725953584805,0.19612312944658494,0.16974858799050277,0.1518176808829492,0.13850287343720563
0.9454,0.9482,0.943,0.946,0.9476,0.9442
-0.17124334992077828,-0.12034306324213068,-0.09835147680630611,-0.08492875637449475,-0.07548395882974426,-0.06872571819899072
0.16670244751109228,0.11912064648583524,0.09731912154822984,0.0845454692491154,0.0761180021744932,0.06969998610087086
0.3379457974318706,0.2394637097279659,0.19567059835453596,0.16947422562361014,0.15160196100423748,0.13842570429986156
0.9438,0.949,0.945,0.9474,0.9486,0.9446
-0.17102294533816922,-0.12022538344915244,-0.09829182772386913,-0.08488290325236128,-0.07545713951660422,-0.06868561036779755
0.1664927586425212,0.11900550909869158,0.09725440233139208,0.08449087095414409,0.07608511984469359,0.06964233959372138
0.3375157039806904,0.23923089254784402,0.1955462300552612,0.16937377420650537,0.1515422593612978,0.13832794996151893
0.9446,0.949,0.9432,0.9462,0.9478,0.944
